State,Year,Data.Totals.Violent.All
Colorado,1961,2659
Colorado,1962,2990
Colorado,1963,2555
Colorado,1964,3119
Colorado,1965,3007
Colorado,1966,3340
Colorado,1967,3789
Colorado,1968,5387
Colorado,1969,6275
Colorado,1970,7874
Colorado,1971,8530
Colorado,1972,9555
Colorado,1973,10088
Colorado,1974,10728
Colorado,1975,11735
Colorado,1976,10770
Colorado,1977,13407
Colorado,1978,13296
Colorado,1979,14472
Colorado,1980,15215
Colorado,1981,15755
Colorado,1982,15354
Colorado,1983,14955
Colorado,1984,14548
Colorado,1985,15219
Colorado,1986,17105
Colorado,1987,15409
Colorado,1988,15548
Colorado,1989,15636
Colorado,1990,17328
Colorado,1991,18887
Colorado,1992,20086
Colorado,1993,20229
Colorado,1994,18632
Colorado,1995,16494
Colorado,1996,15463
Colorado,1997,14139
Colorado,1998,15008
Colorado,1999,13811
Colorado,2000,14367
Colorado,2001,15492
Colorado,2002,15882
Colorado,2003,15757
Colorado,2004,17121
Colorado,2005,18498
Colorado,2006,18794
Colorado,2007,17101
Colorado,2008,17480
Colorado,2009,17022
Colorado,2010,16339
Colorado,2011,16085
Colorado,2012,16023
Colorado,2013,16226
Colorado,2014,16554
Colorado,2015,17515
Colorado,2016,18983
Colorado,2017,20638
Colorado,2018,22624
Colorado,2019,21938
Connecticut,1960,928
Connecticut,1961,878
Connecticut,1962,938
Connecticut,1963,1192
Connecticut,1964,1773
Connecticut,1965,1973
Connecticut,1966,2146
Connecticut,1967,2804
Connecticut,1968,3825
Connecticut,1969,4415
Connecticut,1970,5167
Connecticut,1971,5968
Connecticut,1972,6138
Connecticut,1973,6421
Connecticut,1974,7045
Connecticut,1975,8308
Connecticut,1976,8516
Connecticut,1977,8774
Connecticut,1978,9762
Connecticut,1979,12902
Connecticut,1980,12768
Connecticut,1981,14033
Connecticut,1982,12597
Connecticut,1983,11767
Connecticut,1984,12422
Connecticut,1985,12758
Connecticut,1986,13578
Connecticut,1987,13455
Connecticut,1988,14759
Connecticut,1989,16576
Connecticut,1990,18201
Connecticut,1991,17761
Connecticut,1992,16252
Connecticut,1993,14949
Connecticut,1994,14916
Connecticut,1995,13293
Connecticut,1996,13490
Connecticut,1997,12781
Connecticut,1998,11993
Connecticut,1999,11342
Connecticut,2000,11058
Connecticut,2001,11492
Connecticut,2002,10807
Connecticut,2003,11045
Connecticut,2004,10113
Connecticut,2005,9542
Connecticut,2006,10505
Connecticut,2007,10547
Connecticut,2008,10737
Connecticut,2009,10588
Connecticut,2010,10083
Connecticut,2011,9889
Connecticut,2012,10160
Connecticut,2013,9440
Connecticut,2014,8522
Connecticut,2015,7845
Connecticut,2016,8123
Connecticut,2017,8180
Connecticut,2018,7411
Connecticut,2019,6546
Delaware,1960,375
Delaware,1961,318
Delaware,1962,338
Delaware,1963,424
Delaware,1964,541
Delaware,1965,561
Delaware,1966,655
Delaware,1967,948
Delaware,1968,1288
Delaware,1969,1588
Delaware,1970,1795
Delaware,1971,2060
Delaware,1972,2181
Delaware,1973,2016
Delaware,1974,2539
Delaware,1975,2270
Delaware,1976,1872
Delaware,1977,2224
Delaware,1978,2569
Delaware,1979,3127
Delaware,1980,2824
Delaware,1981,3044
Delaware,1982,3370
Delaware,1983,2746
Delaware,1984,2671
Delaware,1985,2695
Delaware,1986,2703
Delaware,1987,2774
Delaware,1988,2981
